"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
1,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-BO-10001798","261.96",2,"0","41.9136"
2,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-CH-10000454","731.94",3,"0","219.582"
3,"CA-2016-138688","2016-06-12","2016-06-16","Second Class","DV-13045","OFF-LA-10000240","14.62",2,"0","6.8714"
14,"CA-2016-161389","2016-12-05","2016-12-10","Standard Class","IM-15070","OFF-BI-10003656","407.976",3,"0.2","132.5922"
22,"CA-2016-137330","2016-12-09","2016-12-13","Standard Class","KB-16585","OFF-AR-10000246","19.46",7,"0","5.0596"
23,"CA-2016-137330","2016-12-09","2016-12-13","Standard Class","KB-16585","OFF-AP-10001492","60.34",7,"0","15.6884"
26,"CA-2016-121755","2016-01-16","2016-01-20","Second Class","EH-13945","OFF-BI-10001634","11.648",2,"0.2","4.2224"
27,"CA-2016-121755","2016-01-16","2016-01-20","Second Class","EH-13945","TEC-AC-10003027","90.57",3,"0","11.7741"
36,"CA-2016-117590","2016-12-08","2016-12-10","First Class","GH-14485","TEC-PH-10004977","1097.544",7,"0.2","123.4737"
37,"CA-2016-117590","2016-12-08","2016-12-10","First Class","GH-14485","FUR-FU-10003664","190.92",5,"0.6","-147.963"
43,"CA-2016-101343","2016-07-17","2016-07-22","Standard Class","RA-19885","OFF-ST-10003479","77.88",2,"0","3.894"
45,"CA-2016-118255","2016-03-11","2016-03-13","First Class","ON-18715","TEC-AC-10000171","45.98",2,"0","19.7714"
46,"CA-2016-118255","2016-03-11","2016-03-13","First Class","ON-18715","OFF-BI-10003291","17.46",2,"0","8.2062"
48,"CA-2016-169194","2016-06-20","2016-06-25","Standard Class","LH-16900","TEC-AC-10002167","45",3,"0","4.95"
49,"CA-2016-169194","2016-06-20","2016-06-25","Standard Class","LH-16900","TEC-PH-10003988","21.8",2,"0","6.104"
54,"CA-2016-105816","2016-12-11","2016-12-17","Standard Class","JM-15265","OFF-FA-10000304","15.26",7,"0","6.2566"
55,"CA-2016-105816","2016-12-11","2016-12-17","Standard Class","JM-15265","TEC-PH-10002447","1029.95",5,"0","298.6855"
56,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","OFF-ST-10000604","208.56",6,"0","52.14"
57,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","OFF-PA-10001569","32.4",5,"0","15.552"
58,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","FUR-CH-10003968","319.41",5,"0.1","7.098"
59,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","OFF-PA-10000587","14.56",2,"0","6.9888"
60,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","TEC-AC-10002167","30",2,"0","3.3"
61,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","OFF-BI-10001460","48.48",4,"0.2","16.362"
62,"CA-2016-111682","2016-06-17","2016-06-18","First Class","TB-21055","OFF-AR-10001868","1.68",1,"0","0.84"
70,"CA-2016-119823","2016-06-04","2016-06-06","First Class","KD-16270","OFF-PA-10000482","75.88",2,"0","35.6636"
71,"CA-2016-106075","2016-09-18","2016-09-23","Standard Class","HM-14980","OFF-BI-10004654","4.616",1,"0.2","1.731"
80,"CA-2016-127208","2016-06-12","2016-06-15","First Class","SC-20770","OFF-AP-10002118","208.16",1,"0","56.2032"
81,"CA-2016-127208","2016-06-12","2016-06-15","First Class","SC-20770","OFF-BI-10002309","16.74",3,"0","8.0352"
89,"CA-2016-159695","2016-04-05","2016-04-10","Second Class","GM-14455","OFF-ST-10003442","158.368",7,"0.2","13.8572"
90,"CA-2016-109806","2016-09-17","2016-09-22","Standard Class","JS-15685","OFF-AR-10004930","20.1",3,"0","6.633"
91,"CA-2016-109806","2016-09-17","2016-09-22","Standard Class","JS-15685","TEC-PH-10004093","73.584",2,"0.2","8.2782"
92,"CA-2016-109806","2016-09-17","2016-09-22","Standard Class","JS-15685","OFF-PA-10000304","6.48",1,"0","3.1104"
99,"CA-2016-149223","2016-09-06","2016-09-11","Standard Class","ER-13855","OFF-AP-10000358","77.88",6,"0","22.5852"
100,"CA-2016-158568","2016-08-29","2016-09-02","Standard Class","RB-19465","OFF-PA-10003256","64.624",7,"0.2","22.6184"
101,"CA-2016-158568","2016-08-29","2016-09-02","Standard Class","RB-19465","TEC-AC-10001767","95.976",3,"0.2","-10.7973"
102,"CA-2016-158568","2016-08-29","2016-09-02","Standard Class","RB-19465","OFF-BI-10002609","1.788",3,"0.8","-3.0396"
103,"CA-2016-129903","2016-12-01","2016-12-04","Second Class","GZ-14470","OFF-PA-10004040","23.92",4,"0","11.7208"
112,"CA-2016-128867","2016-11-03","2016-11-10","Standard Class","CL-12565","OFF-AR-10000380","75.96",2,"0","22.788"
113,"CA-2016-128867","2016-11-03","2016-11-10","Standard Class","CL-12565","OFF-BI-10003981","27.24",6,"0","13.3476"
120,"CA-2016-103730","2016-06-12","2016-06-15","First Class","SC-20725","FUR-FU-10002157","47.04",3,"0","18.3456"
121,"CA-2016-103730","2016-06-12","2016-06-15","First Class","SC-20725","OFF-BI-10003910","30.84",4,"0","13.878"
122,"CA-2016-103730","2016-06-12","2016-06-15","First Class","SC-20725","OFF-ST-10000777","226.56",6,"0","63.4368"
123,"CA-2016-103730","2016-06-12","2016-06-15","First Class","SC-20725","OFF-EN-10002500","115.02",9,"0","51.759"
124,"CA-2016-103730","2016-06-12","2016-06-15","First Class","SC-20725","TEC-PH-10003875","68.04",7,"0","19.7316"
129,"US-2016-125969","2016-11-06","2016-11-10","Second Class","LS-16975","FUR-CH-10001146","81.424",2,"0.2","-9.1602"
130,"US-2016-125969","2016-11-06","2016-11-10","Second Class","LS-16975","FUR-FU-10003773","238.56",3,"0","26.2416"
134,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-PA-10001804","20.04",3,"0","9.6192"
135,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-PA-10001736","35.44",1,"0","16.6568"
136,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-AR-10001149","11.52",4,"0","3.456"
137,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-FA-10002988","4.02",2,"0","1.9698"
138,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-BI-10004781","76.176",3,"0.2","26.6616"
139,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","OFF-SU-10001218","65.88",6,"0","18.4464"
140,"CA-2016-145583","2016-10-13","2016-10-19","Standard Class","LC-16885","FUR-FU-10001706","43.12",14,"0","20.6976"
141,"CA-2016-110366","2016-09-05","2016-09-07","Second Class","JD-15895","FUR-FU-10004848","82.8",2,"0.2","10.35"
148,"CA-2016-114489","2016-12-05","2016-12-09","Standard Class","JE-16165","TEC-PH-10000215","384.45",11,"0","103.8015"
149,"CA-2016-114489","2016-12-05","2016-12-09","Standard Class","JE-16165","TEC-PH-10001448","149.97",3,"0","5.9988"
150,"CA-2016-114489","2016-12-05","2016-12-09","Standard Class","JE-16165","FUR-CH-10000454","1951.84",8,"0","585.552"
151,"CA-2016-114489","2016-12-05","2016-12-09","Standard Class","JE-16165","OFF-BI-10002735","171.55",5,"0","80.6285"
152,"CA-2016-158834","2016-03-13","2016-03-16","First Class","TW-21025","OFF-AP-10000326","157.92",5,"0.2","17.766"
153,"CA-2016-158834","2016-03-13","2016-03-16","First Class","TW-21025","TEC-PH-10001254","203.184",2,"0.2","15.2388"
159,"CA-2016-114104","2016-11-20","2016-11-24","Standard Class","NP-18670","OFF-LA-10002475","14.62",2,"0","6.8714"
160,"CA-2016-114104","2016-11-20","2016-11-24","Standard Class","NP-18670","TEC-PH-10004536","944.93",7,"0","236.2325"
161,"CA-2016-162733","2016-05-11","2016-05-12","First Class","TT-21070","OFF-PA-10002751","5.98",1,"0","2.691"
163,"CA-2016-154508","2016-11-16","2016-11-20","Standard Class","RD-19900","OFF-EN-10001990","28.4",5,"0","13.348"
164,"CA-2016-113817","2016-11-07","2016-11-11","Standard Class","MJ-17740","OFF-BI-10004002","27.68",2,"0.2","9.688"
186,"CA-2016-105018","2016-11-28","2016-12-02","Standard Class","SK-19990","OFF-BI-10001890","7.16",2,"0","3.4368"
188,"CA-2016-157000","2016-07-16","2016-07-22","Standard Class","AM-10360","OFF-ST-10001328","37.224",3,"0.2","3.7224"
189,"CA-2016-157000","2016-07-16","2016-07-22","Standard Class","AM-10360","OFF-PA-10001950","20.016",3,"0.2","6.255"
218,"CA-2016-130162","2016-10-28","2016-11-01","Standard Class","JH-15910","OFF-ST-10001328","93.06",6,"0","26.0568"
219,"CA-2016-130162","2016-10-28","2016-11-01","Standard Class","JH-15910","TEC-PH-10002563","302.376",3,"0.2","22.6782"
238,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","OFF-PA-10003349","25.92",5,"0.2","9.396"
239,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","FUR-FU-10000576","419.68",5,"0.6","-356.728"
240,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","FUR-FU-10004351","11.688",3,"0.6","-4.6752"
241,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","TEC-PH-10000011","31.984",2,"0.2","11.1944"
242,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","FUR-TA-10002607","177.225",5,"0.5","-120.513"
243,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","FUR-FU-10002505","4.044",3,"0.6","-2.8308"
244,"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","OFF-AR-10004685","7.408",2,"0.2","1.2038"
250,"CA-2016-154739","2016-12-10","2016-12-15","Second Class","LH-17155","FUR-CH-10002965","321.568",2,"0.2","28.1372"
251,"CA-2016-145625","2016-09-11","2016-09-17","Standard Class","KC-16540","OFF-PA-10004569","7.61",1,"0","3.5767"
252,"CA-2016-145625","2016-09-11","2016-09-17","Standard Class","KC-16540","TEC-AC-10003832","3347.37",13,"0","636.0003"
253,"CA-2016-146941","2016-12-10","2016-12-13","First Class","DL-13315","OFF-ST-10001228","80.58",6,"0","22.5624"
254,"CA-2016-146941","2016-12-10","2016-12-13","First Class","DL-13315","OFF-EN-10003296","361.92",4,"0","162.864"
265,"CA-2016-125318","2016-06-06","2016-06-13","Standard Class","RC-19825","TEC-PH-10001433","328.224",4,"0.2","28.7196"
268,"CA-2016-111010","2016-01-22","2016-01-28","Standard Class","PG-18895","OFF-FA-10003472","7.56",6,"0","0.3024"
287,"CA-2016-112697","2016-12-18","2016-12-20","Second Class","AH-10195","OFF-BI-10000778","254.058",7,"0.7","-169.372"
288,"CA-2016-112697","2016-12-18","2016-12-20","Second Class","AH-10195","OFF-AP-10002684","194.528",2,"0.2","24.316"
289,"CA-2016-112697","2016-12-18","2016-12-20","Second Class","AH-10195","OFF-SU-10000646","961.48",5,"0.2","-204.3145"
